ID,Name,ImageFile,OriginalURL,PokeEne,HP,ATK,DEF,SP.ATK,SP.DEF,Speed,Type,Move,MoveType,Special,Rarity,Variant,Series
2-4-020,ガチゴラス,2-4-020_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-020_kira.webp,256,149,133,131,78,67,3,"いわ, ドラゴン",ロックブラスト,いわ,,3,,ベストタッグ4だん
2-4-021,アマルルガ,2-4-021_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-021_kira.webp,256,193,86,81,109,102,2,"こおり, いわ",つららばり,こおり,,4,,ベストタッグ4だん
2-4-022,デカヌチャン,2-4-022_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-022_kira.webp,252,155,86,88,80,118,3,"フェアリー, はがね",デカハンマー,はがね,,3,,ベストタッグ4だん
2-4-023,テラパゴス,2-4-023_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-023_kira.webp,280,157,101,117,112,117,3,ノーマル,テラクラスター,ノーマル,テラスタル,3,,ベストタッグ4だん
2-4-024,ルカリオ,2-4-024_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-024_kira.webp,256,137,121,79,126,79,5,かくとう,インファイト,かくとう,メガシンカ,3,,ベストタッグ4だん
2-4-025,モモワロウ,2-4-025_kira.webp,https://pokemonfrienda.com/new/img/bt4/2-4-025_kira.webp,276,150,94,168,94,94,3,"どく, フェアリー",じゃどくのくさり,どく,,3,,ベストタッグ4だん
2-3-001,ザシアン,2-3-001_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-001_kira.webp,,,,,,,,,,,,,,
2-3-002,ザマゼンタ,2-3-002_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-002_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-003,フーパ,2-3-003_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-003_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-004,リザードン,2-3-004_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-004_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-005,メタグロス,2-3-005_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-005_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-006,ガブリアス,2-3-006_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-006_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-007,エルレイド,2-3-007_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-007_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-008,マホイップ,2-3-008_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-008_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-009,ブリジュラス,2-3-009_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-009_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-010,イルカマン,2-3-010_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-010_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-011,ピクシー,2-3-011_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-011_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-012,エビワラー,2-3-012_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-012_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-013,ストリンダー,2-3-013_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-013_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-014,スピアー,2-3-014_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-014_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-015,プテラ,2-3-015_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-015_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-016,ヘルガー,2-3-016_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-016_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-017,ドオー,2-3-017_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-017_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-018,ドドゲザン,2-3-018_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-018_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-019,ブロスター,2-3-019_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-019_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-020,ジバコイル,2-3-020_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-020_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-021,トゲキッス,2-3-021_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-021_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-022,ヨノワール,2-3-022_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-022_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-023,ウルガモス,2-3-023_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-023_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-024,アップリュー,2-3-024_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-024_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-3-025,タルップル,2-3-025_kira.webp,https://pokemonfrienda.com/new/img/bt3/2-3-025_kira.webp,,,,,,,,,,,,,,ベストタッグ3だん
2-2-001,カイオーガ,2-2-001_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-001_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-002,グラードン,2-2-002_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-002_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-003,ギラティナ,2-2-003_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-003_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-004,ハッサム,2-2-004_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-004_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-005,サーナイト,2-2-005_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-005_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-006,ボーマンダ,2-2-006_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-006_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-007,ガチグマ,2-2-007_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-007_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-008,グレンアルマ,2-2-008_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-008_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-009,シェイミ,2-2-009_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-009_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-010,カプ・コケコ,2-2-010_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-010_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-011,シャンデラ,2-2-011_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-011_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-012,ルガルガン,2-2-012_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-012_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-013,グソクムシャ,2-2-013_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-013_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-014,ハガネール,2-2-014_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-014_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-015,アブソル,2-2-015_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-015_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-016,ユキノオー,2-2-016_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-016_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-017,ルガルガン,2-2-017_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-017_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-018,ドレディア,2-2-018_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-018_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-019,ワルビアル,2-2-019_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-019_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-020,ヒードラン,2-2-020_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-020_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-021,ボルケニオン,2-2-021_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-021_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-022,ライチュウ,2-2-022_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-022_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-023,バイバニラ,2-2-023_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-023_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-024,リククラゲ,2-2-024_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-024_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-2-025,スコヴィラン,2-2-025_kira.webp,https://pokemonfrienda.com/new/img/bt2/2-2-025_kira.webp,,,,,,,,,,,,,,ベストタッグ2だん
2-1-001,ミュウツー,2-1-001_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-001_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-002,ソルガレオ,2-1-002_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-002_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-003,ルナアーラ,2-1-003_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-003_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-004,モモワロウ,2-1-004_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-004_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-005,ジラーチ,2-1-005_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-005_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-006,ゲンガー,2-1-006_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-006_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-007,ギャラドス,2-1-007_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-007_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-008,ルカリオ,2-1-008_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-008_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-009,サーナイト,2-1-009_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-009_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-010,カミツオロチ,2-1-010_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-010_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-011,メガニウム,2-1-011_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-011_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-012,バクフーン,2-1-012_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-012_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-013,オーダイル,2-1-013_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-013_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-014,ニドキング,2-1-014_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-014_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-015,ヘラクロス,2-1-015_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-015_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-016,ヤミラミ,2-1-016_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-016_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-017,クチート,2-1-017_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-017_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-018,ピカチュウ,2-1-018_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-018_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-019,マニューラ,2-1-019_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-019_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-020,アローラキュウコン,2-1-020_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-020_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-021,ネギガナイト,2-1-021_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-021_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-022,モトトカゲ,2-1-022_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-022_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-023,キラフロル,2-1-023_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-023_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-024,リキキリン,2-1-024_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-024_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
2-1-025,ヤバソチャ,2-1-025_kira.webp,https://pokemonfrienda.com/new/img/bt1/2-1-025_kira.webp,,,,,,,,,,,,,,ベストタッグ1だん
1-5-001,ゼルネアス,1-5-001_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-001_kira.webp,,,,,,,,,,,,,,5だん
1-5-002,イベルタル,1-5-002_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-002_kira.webp,,,,,,,,,,,,,,5だん
1-5-003,テラパゴス,1-5-003_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-003_kira.webp,,,,,,,,,,,,,,5だん
1-5-004,タケルライコ,1-5-004_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-004_kira.webp,,,,,,,,,,,,,,5だん
1-5-005,ウネルミナモ,1-5-005_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-005_kira.webp,,,,,,,,,,,,,,5だん
1-5-006,ウガツホムラ,1-5-006_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-006_kira.webp,,,,,,,,,,,,,,5だん
1-5-007,ボーマンダ,1-5-007_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-007_kira.webp,,,,,,,,,,,,,,5だん
1-5-008,ジャラランガ,1-5-008_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-008_kira.webp,,,,,,,,,,,,,,5だん
1-5-009,イッカネズミ,1-5-009_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-009_kira.webp,,,,,,,,,,,,,,5だん
1-5-010,ヘイラッシャ,1-5-010_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-010_kira.webp,,,,,,,,,,,,,,5だん
1-5-011,ジャローダ,1-5-011_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-011_kira.webp,,,,,,,,,,,,,,5だん
1-5-012,エンブオー,1-5-012_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-012_kira.webp,,,,,,,,,,,,,,5だん
1-5-013,ダイケンキ,1-5-013_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-013_kira.webp,,,,,,,,,,,,,,5だん
1-5-014,アラブルタケ,1-5-014_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-014_kira.webp,,,,,,,,,,,,,,5だん
1-5-015,スナノケガワ,1-5-015_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-015_kira.webp,,,,,,,,,,,,,,5だん
1-5-016,テツノワダチ,1-5-016_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-016_kira.webp,,,,,,,,,,,,,,5だん
1-5-017,テツノドクガ,1-5-017_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-017_kira.webp,,,,,,,,,,,,,,5だん
1-5-018,エルレイド,1-5-018_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-018_kira.webp,,,,,,,,,,,,,,5だん
1-5-019,ブリムオン,1-5-019_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-019_kira.webp,,,,,,,,,,,,,,5だん
1-5-020,ハラバリー,1-5-020_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-020_kira.webp,,,,,,,,,,,,,,5だん
1-5-021,シャリタツ,1-5-021_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-021_kira.webp,,,,,,,,,,,,,,5だん
1-5-022,エーフィ,1-5-022_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-022_kira.webp,,,,,,,,,,,,,,5だん
1-5-023,ブラッキー,1-5-023_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-023_kira.webp,,,,,,,,,,,,,,5だん
1-5-024,グレイシア,1-5-024_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-024_kira.webp,,,,,,,,,,,,,,5だん
1-5-025,リーフィア,1-5-025_kira.webp,https://pokemonfrienda.com/new/img/5/1-5-025_kira.webp,,,,,,,,,,,,,,5だん
1-4-001,レシラム,1-4-001_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-001_kira.webp,,,,,,,,,,,,,,4だん
1-4-002,ゼクロム,1-4-002_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-002_kira.webp,,,,,,,,,,,,,,4だん
1-4-003,キュレム,1-4-003_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-003_kira.webp,,,,,,,,,,,,,,4だん
1-4-004,オーガポン,1-4-004_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-004_kira.webp,,,,,,,,,,,,,,4だん
1-4-005,テツノイサハ,1-4-005_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-005_kira.webp,,,,,,,,,,,,,,4だん
1-4-006,テツノイワオ,1-4-006_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-006_kira.webp,,,,,,,,,,,,,,4だん
1-4-007,テツノカシラ,1-4-007_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-007_kira.webp,,,,,,,,,,,,,,4だん
1-4-008,バンギラス,1-4-008_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-008_kira.webp,,,,,,,,,,,,,,4だん
1-4-009,メタグロス,1-4-009_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-009_kira.webp,,,,,,,,,,,,,,4だん
1-4-010,ウガツホムラ,1-4-010_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-010_kira.webp,,,,,,,,,,,,,,4だん
1-4-011,ブリガロン,1-4-011_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-011_kira.webp,,,,,,,,,,,,,,4だん
1-4-012,マフォクシー,1-4-012_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-012_kira.webp,,,,,,,,,,,,,,4だん
1-4-013,ゲッコウガ,1-4-013_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-013_kira.webp,,,,,,,,,,,,,,4だん
1-4-014,サケブシッポ,1-4-014_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-014_kira.webp,,,,,,,,,,,,,,4だん
1-4-015,ハバタクカミ,1-4-015_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-015_kira.webp,,,,,,,,,,,,,,4だん
1-4-016,テツノツツミ,1-4-016_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-016_kira.webp,,,,,,,,,,,,,,4だん
1-4-017,テツノカイナ,1-4-017_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-017_kira.webp,,,,,,,,,,,,,,4だん
1-4-018,バウッツェル,1-4-018_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-018_kira.webp,,,,,,,,,,,,,,4だん
1-4-019,デカヌチャン,1-4-019_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-019_kira.webp,,,,,,,,,,,,,,4だん
1-4-020,オンバーン,1-4-020_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-020_kira.webp,,,,,,,,,,,,,,4だん
1-4-021,ギガイアス,1-4-021_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-021_kira.webp,,,,,,,,,,,,,,4だん
1-4-022,シビルドン,1-4-022_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-022_kira.webp,,,,,,,,,,,,,,4だん
1-4-023,ファイアロー,1-4-023_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-023_kira.webp,,,,,,,,,,,,,,4だん
1-4-024,ラプラス,1-4-024_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-024_kira.webp,,,,,,,,,,,,,,4だん
1-4-025,バサギリ,1-4-025_kira.webp,https://pokemonfrienda.com/new/img/4/1-4-025_kira.webp,,,,,,,,,,,,,,4だん
1-3-001,テラパゴス,1-3-001_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-001_kira.webp,,,,,,,,,,,,,,3だん
1-3-002,オーガポン,1-3-002_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-002_kira.webp,,,,,,,,,,,,,,3だん
1-3-003,デオキシス,1-3-003_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-003_kira.webp,,,,,,,,,,,,,,3だん
1-3-004,ケルディオ,1-3-004_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-004_kira.webp,,,,,,,,,,,,,,3だん
1-3-005,ザルード,1-3-005_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-005_kira.webp,,,,,,,,,,,,,,3だん
1-3-006,ドドゲザン,1-3-006_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-006_kira.webp,,,,,,,,,,,,,,3だん
1-3-007,リザードン,1-3-007_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-007_kira.webp,,,,,,,,,,,,,,3だん
1-3-008,トドロクツキ,1-3-008_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-008_kira.webp,,,,,,,,,,,,,,3だん
1-3-009,テツノブジン,1-3-009_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-009_kira.webp,,,,,,,,,,,,,,3だん
1-3-010,レックウザ,1-3-010_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-010_kira.webp,,,,,,,,,,,,,,3だん
1-3-011,ドダイトス,1-3-011_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-011_kira.webp,,,,,,,,,,,,,,3だん
1-3-012,ゴウカザル,1-3-012_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-012_kira.webp,,,,,,,,,,,,,,3だん
1-3-013,エンペルト,1-3-013_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-013_kira.webp,,,,,,,,,,,,,,3だん
1-3-014,イダイナキバ,1-3-014_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-014_kira.webp,,,,,,,,,,,,,,3だん
1-3-015,チヲハウハネ,1-3-015_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-015_kira.webp,,,,,,,,,,,,,,3だん
1-3-016,テツノコウベ,1-3-016_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-016_kira.webp,,,,,,,,,,,,,,3だん
1-3-017,テツノイバラ,1-3-017_kira.webp,https://pokemonfrienda.com/new/img/3/1-3-017_kira.webp,,,,,,,,,,,,,,3だん
